kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_crop,bc_supply,bc_penalty,bc_reconstructed,cql_crop,cql_supply,cql_penalty,cql_reconstructed,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive
reward_stats,w0.0_2.0_0.5,30000.0,-9.56540298461914,0.5,0.13427187660092726,0.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w0.0_2.0_0.5,,,,,,,42.0,2.3628686282136195,3.32101740327304,7.221370770015091,19.37473460100934,3.662249336145524,2.362868628213622,6.979054943458225,19.46004133862063,3.2045016330186415,3.321017403273032,"[1115, 4505, 2244, 1738, 398]","[923, 5178, 1879, 2020, 0]",w0.0_2.0_0.5_s42,0.9581487750594205,0.6062370700252295,1.3456675573649743,False,1.0
per_seed,w0.0_2.0_0.5,,,,,,,123.0,2.889787692421945,3.6477961413193154,6.688241124119393,19.41567520289155,3.409024954511917,2.8897876924219403,6.473086575283948,19.47631639232845,3.0451810274224567,3.6477961413193114,"[1477, 4541, 1983, 1616, 383]","[1290, 5284, 1560, 1866, 0]",w0.0_2.0_0.5_s123,0.7580084488973697,0.4471924667222521,1.095563945504125,False,1.0
per_seed,w0.0_2.0_0.5,,,,,,,2024.0,2.688254077632309,3.6311515854619345,6.89064401725136,19.40475691962683,3.5070621910905535,2.6882540776323083,6.642597818212542,19.48721549531804,3.056228081098542,3.631151585461936,"[1427, 4406, 2212, 1633, 322]","[1274, 4992, 1935, 1799, 0]",w0.0_2.0_0.5_s2024,0.942897507829625,0.6319056835581099,1.2851547083800836,False,1.0
pooled,w0.0_2.0_0.5,,,,,,,,2.646970132755958,3.5333217100180967,,,,,,,,,,,w0.0_2.0_0.5_pooled,0.8863515772621384,0.6937502653356555,1.087649607425373,False,1.0
reward_stats,w1.0_0.0_0.5,30000.0,0.1309138834476471,1.5,0.8144940601651868,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_0.0_0.5,,,,,,,42.0,16.908738070519757,16.958284935501354,7.221370770015091,19.37473460100934,3.662249336145524,16.90873807051976,7.297625577608899,19.321318715784894,3.86413667415208,16.958284935501347,"[1115, 4505, 2244, 1738, 398]","[949, 4754, 1838, 2230, 229]",w1.0_0.0_0.5_s42,0.04954686498159194,0.02187100260491005,0.0787840063984036,False,1.0
per_seed,w1.0_0.0_0.5,,,,,,,123.0,16.39607872556517,16.414506139327926,6.688241124119393,19.41567520289155,3.409024954511917,16.396078725565168,6.730343266843155,19.36832574496953,3.559005329792843,16.41450613932792,"[1477, 4541, 1983, 1616, 383]","[1264, 4990, 1586, 1933, 227]",w1.0_0.0_0.5_s123,0.01842741376275656,-0.00951039430319807,0.04537112536466294,True,0.904
per_seed,w1.0_0.0_0.5,,,,,,,2024.0,16.593022477064775,16.61658656632566,6.89064401725136,19.40475691962683,3.5070621910905535,16.593022477064775,6.92851527573616,19.37614258117899,3.6062063273570715,16.616586566325655,"[1427, 4406, 2212, 1633, 322]","[1273, 4609, 1979, 1942, 197]",w1.0_0.0_0.5_s2024,0.0235640892608814,0.0006207884889645442,0.04895955387443776,False,0.978
pooled,w1.0_0.0_0.5,,,,,,,,16.6326130910499,16.663125880384978,,,,,,,,,,,w1.0_0.0_0.5_pooled,0.03051278933507663,0.014954724822811584,0.04656571006068538,False,1.0
