well_id,date,lat,lon,actual,pred_v1,pred_v2,kriging
W_16.0853_80.1517,2021-01-09,16.08528,80.15167,1.61,2.874370121030831,3.336515962829345,2.9365031719207764
W_16.0569_80.6975,2016-11-04,16.05694,80.6975,1.88,2.7640569107161133,3.545462554971788,2.065220832824707
W_16.0569_80.6975,2019-01-04,16.05694,80.6975,2.2,3.1776292728560684,4.096431301714141,2.451002359390259
W_16.0569_80.6975,2019-05-04,16.05694,80.6975,3.09,6.321043978599358,7.859116407492888,4.8105244636535645
W_16.0569_80.6975,2019-08-19,16.05694,80.6975,2.45,4.182613609195263,4.728858744995275,1.9553309679031368
W_16.0569_80.6975,2019-10-31,16.05694,80.6975,0.82,1.8825119754170347,3.748195736988311,4.275356769561768
W_16.0569_80.6975,2020-01-09,16.05694,80.6975,1.86,2.547640844286937,4.776018680445733,2.0388166904449463
W_16.0569_80.6975,2020-11-29,16.05694,80.6975,1.08,2.964680778856724,2.852149754047212,1.8534845113754272
W_16.0569_80.6975,2021-01-09,16.05694,80.6975,1.79,2.8794892133995433,2.8602726063083224,2.893813371658325
W_16.0533_79.7483,2016-11-04,16.05333,79.74833,6.04,5.4920894838865,5.306778570574063,3.771762132644653
W_16.0533_79.7483,2019-01-04,16.05333,79.74833,9.93,3.8241924305509496,4.403893497390104,3.068962335586548
W_16.0533_79.7483,2019-05-04,16.05333,79.74833,11.59,7.759517333280063,8.030527423180267,7.28766918182373
W_16.0533_79.7483,2019-10-31,16.05333,79.74833,7.34,4.142161489275086,4.511031586122452,4.275356769561768
W_16.0533_79.7483,2020-01-09,16.05333,79.74833,6.68,3.6223188350957467,4.817567542961541,3.1188364028930664
W_16.0533_79.7483,2020-11-29,16.05333,79.74833,4.11,3.894683796988265,3.72767714882894,2.5751302242279053
W_16.0533_79.7483,2021-01-09,16.05333,79.74833,3.36,3.0697260153352457,3.550577942869048,2.913981676101685
W_16.5661_80.4128,2016-11-04,16.56611,80.41278,1.65,3.8306410857573487,4.411551025535353,3.251667022705078
W_16.5661_80.4128,2018-11-18,16.56611,80.41278,2.2,6.326760664674439,4.824614799711669,3.894726514816284
W_16.5661_80.4128,2018-11-25,16.56611,80.41278,2.35,6.326760664674439,4.824614799711669,3.894726514816284
W_16.5661_80.4128,2018-12-04,16.56611,80.41278,2.47,4.192497201965245,4.092199967432924,3.894726514816284
W_16.5661_80.4128,2018-12-11,16.56611,80.41278,2.6,4.192497201965245,4.092199967432924,3.894726514816284
W_16.5661_80.4128,2018-12-18,16.56611,80.41278,1.86,4.5654466657750605,3.6293452619770905,4.327251434326172
W_16.5661_80.4128,2018-12-25,16.56611,80.41278,1.89,4.5654466657750605,3.6293452619770905,4.327251434326172
W_16.5661_80.4128,2019-01-04,16.56611,80.41278,2.01,5.329914474590681,5.589166976908556,4.327251434326172
W_16.5661_80.4128,2019-05-04,16.56611,80.41278,4.32,7.838402932751424,9.21024042151844,4.741178035736084
W_16.5661_80.4128,2019-10-31,16.56611,80.41278,0.45,5.345419233312836,4.540981311672953,4.275356769561768
W_16.5661_80.4128,2020-01-09,16.56611,80.41278,1.29,4.266769665420867,4.7794287267037525,3.2223289012908936
W_16.5661_80.4128,2020-11-29,16.56611,80.41278,0.47,4.024232703525143,3.282843029822375,2.147775173187256
W_16.5661_80.4128,2021-01-09,16.56611,80.41278,1.26,2.5323840303552636,3.1679576391979847,2.3565685749053955
W_16.2264_80.5142,2016-11-04,16.22639,80.51417,11.26,2.962815265990696,3.938893747686847,2.4384593963623047
W_16.2264_80.5142,2019-01-04,16.22639,80.51417,5.25,4.159227139252514,4.811121914310112,3.743690490722656
W_16.2264_80.5142,2019-05-04,16.22639,80.51417,7.11,7.065543537513946,7.938373090487961,5.56290864944458
W_16.2264_80.5142,2019-08-19,16.22639,80.51417,5.15,4.1825908504637175,4.7697977941931455,3.293832302093506
W_16.2264_80.5142,2019-10-31,16.22639,80.51417,2.63,2.173037722720708,3.98426608494393,4.275356769561768
W_16.2264_80.5142,2020-01-09,16.22639,80.51417,3.11,3.1854570190124747,4.943040731485154,2.8366506099700928
W_16.2264_80.5142,2020-11-29,16.22639,80.51417,2.11,3.900145014364444,2.9708566688416167,1.5531212091445925
W_16.2264_80.5142,2021-01-09,16.22639,80.51417,2.41,2.5130444955459073,2.6695953727412243,2.357709646224976
W_16.4064_80.1481,2016-11-04,16.40639,80.14806,2.03,4.169645814953839,4.893031815286873,3.944259643554688
W_16.4064_80.1481,2017-01-04,16.40639,80.14806,7.65,5.455310301204101,4.789473188896006,5.480133533477783
W_16.4064_80.1481,2019-01-04,16.40639,80.14806,3.22,4.352542066311024,4.612862828319148,3.864235162734986
W_16.4064_80.1481,2019-05-04,16.40639,80.14806,3.79,7.747330400422685,8.056691518425882,7.892505645751953
W_16.4064_80.1481,2019-10-31,16.40639,80.14806,1.46,3.723034205776647,4.58697837971353,4.275356769561768
