well_id,date,actual,predicted_lstm,predicted_persistence
W_15.8889_78.15,2020-11-29,1.7299998,2.7050748,4.41
W_15.8889_78.15,2021-01-09,2.18,1.9994255,1.73
W_15.8928_73.6706,2016-11-04,4.8,4.5772343,3.65
W_15.8928_73.6706,2017-01-04,6.0,6.1460524,4.8
W_15.8928_73.6706,2017-08-24,3.5,3.556204,6.0
W_15.8928_73.6706,2018-08-19,1.85,2.6946971,3.5
W_15.8928_73.6706,2019-01-09,6.0,4.815086,1.85
W_15.8928_73.6706,2019-05-19,8.3,7.5921297,6.0
W_15.8928_73.6706,2019-08-19,1.9000001,4.7228794,8.3
W_15.8928_73.6706,2019-11-09,3.3,2.6214824,1.9
W_15.8928_73.6706,2020-01-09,5.15,4.5342493,3.3
W_15.8928_73.6706,2020-11-29,3.5,4.2511473,5.15
W_15.8928_73.6706,2021-01-09,5.75,4.264621,3.5
W_15.8947_74.6597,2016-11-04,10.0,3.3532987,2.1
W_15.8947_74.6597,2017-01-04,11.3,11.620581,10.0
W_15.8947_74.6597,2017-08-24,2.2399998,10.031865,11.3
W_15.8947_74.6597,2018-08-19,1.25,2.1342454,2.24
W_15.8947_74.6597,2018-11-04,1.8,2.7264538,1.25
W_15.8947_74.6597,2019-01-02,2.24,2.7324586,1.8
W_15.8947_74.6597,2019-05-26,2.15,3.2514987,2.24
W_15.8947_74.6597,2019-08-06,0.82000005,-5.044955,2.15
W_15.8947_74.6597,2019-11-22,1.3199999,0.86531734,0.82
W_15.8947_74.6597,2020-01-09,1.98,3.9668016,1.32
W_15.8947_74.6597,2020-11-29,1.54,0.91299033,1.98
W_15.8947_74.6597,2021-01-09,1.8,2.1024802,1.54
W_15.9333_75.3028,2018-08-19,18.38,22.31445,22.73
W_15.9333_75.3028,2018-11-04,15.2699995,19.01214,18.38
W_15.9333_75.3028,2019-01-02,11.77,15.512179,15.27
W_15.9333_75.3028,2019-08-06,10.700001,13.536296,11.77
W_15.9333_75.3028,2019-11-22,5.6299996,9.400797,10.7
W_15.9333_75.3028,2020-11-29,6.2000003,6.5283885,5.63
W_15.9333_75.3028,2021-01-09,8.08,7.9073396,6.2
W_15.9389_79.9589,2017-01-04,4.5800004,4.771717,5.53
W_15.9389_79.9589,2017-08-24,2.48,4.2713246,4.58
W_15.9389_79.9589,2018-08-19,2.69,2.922559,2.48
W_15.9389_79.9589,2019-01-04,2.04,2.1595283,2.69
W_15.9389_79.9589,2019-05-04,4.23,2.8737025,2.04
W_15.9389_79.9589,2019-10-31,1.2,1.5861223,4.23
W_15.9389_79.9589,2020-01-09,1.11,1.2721133,1.2
W_15.9389_79.9589,2020-11-29,1.52,0.52276975,1.11
W_15.9389_79.9589,2021-01-09,1.4,2.2522154,1.52
W_15.9581_73.6853,2016-11-04,10.0,4.678024,3.7
W_15.9581_73.6853,2017-01-04,11.2,11.240277,10.0
W_15.9581_73.6853,2017-08-24,9.75,8.911708,11.2
W_15.9581_73.6853,2018-08-19,9.55,9.099591,9.75
W_15.9581_73.6853,2019-01-09,11.9,12.37668,9.55
W_15.9581_73.6853,2019-05-19,18.0,13.560371,11.9
W_15.9581_73.6853,2019-08-19,8.4,14.180006,18.0
W_15.9581_73.6853,2019-11-09,9.599999,9.124134,8.4
W_15.9581_73.6853,2020-01-09,11.150001,10.868339,9.6
W_15.9581_73.6853,2020-11-29,10.099999,10.019527,11.15
W_15.9581_73.6853,2021-01-09,11.450001,10.872773,10.1
W_15.9625_74.0017,2017-01-04,3.4,1.3461506,1.0
W_15.9625_74.0017,2017-08-24,1.0500002,2.9327388,3.4
W_15.9625_74.0017,2018-08-19,0.24999994,1.0323807,1.05
W_15.9625_74.0017,2019-01-09,4.5,2.1812787,0.25
W_15.9625_74.0017,2019-05-19,6.3,4.8694897,4.5
W_15.9625_74.0017,2019-08-19,0.5,3.4897978,6.3
W_15.9625_74.0017,2020-01-09,2.9,1.3409262,0.5
W_15.9625_74.0017,2020-11-29,0.5,2.8905337,2.9
W_15.9625_74.0017,2021-01-09,3.05,0.7194702,0.5
W_15.9625_76.9528,2017-01-04,4.0,3.798748,3.6
W_15.9625_76.9528,2017-08-24,4.75,4.3442817,4.0
W_15.9625_76.9528,2018-11-04,4.35,3.5261354,4.75
W_15.9625_76.9528,2019-04-30,5.48,5.130536,4.35
W_15.9625_76.9528,2019-08-18,5.69,5.254745,5.48
W_15.9625_76.9528,2019-11-29,3.3500001,3.953387,5.69
W_15.9625_76.9528,2020-01-09,3.56,4.055651,3.35
W_15.9625_76.9528,2020-11-29,1.6999999,2.7325244,3.56
W_15.9625_76.9528,2021-01-09,1.95,1.8691032,1.7
W_15.9994_76.8931,2016-11-04,2.9,5.2995467,5.27
W_15.9994_76.8931,2017-01-04,5.55,3.7257977,2.9
W_15.9994_76.8931,2017-08-24,7.04,6.209267,5.55
W_15.9994_76.8931,2018-08-19,7.59,5.8161354,7.04
W_15.9994_76.8931,2018-11-04,1.6600003,7.462847,7.59
W_15.9994_76.8931,2019-04-30,7.93,2.5778756,1.66
W_15.9994_76.8931,2019-08-18,8.93,7.258918,7.93
W_15.9994_76.8931,2019-11-29,1.5000005,5.954273,8.93
W_15.9994_76.8931,2020-01-09,5.92,2.2056513,1.5
W_15.9994_76.8931,2020-11-29,2.3000002,5.0925245,5.92
W_15.9994_76.8931,2021-01-09,3.1,2.469103,2.3
W_15.9_74.9167,2018-08-19,5.37,0.3005731,3.75
W_15.9_74.9167,2018-11-04,5.5,5.7849154,5.37
W_15.9_74.9167,2019-01-02,6.15,6.5051355,5.5
W_15.9_74.9167,2019-08-06,2.3500001,7.5908055,6.15
W_15.9_74.9167,2019-11-23,2.05,2.1650152,2.35
W_15.9_74.9167,2020-01-09,4.8,3.3002276,2.05
W_15.9_74.9167,2020-11-29,2.15,4.7000027,4.8
W_15.9_74.9167,2021-01-09,2.5900002,2.7426481,2.15
W_16.0083_79.6958,2016-11-04,2.35,6.1286364,6.65
W_16.0083_79.6958,2017-01-04,2.8799999,2.907598,2.35
W_16.0083_79.6958,2017-08-24,3.6200001,2.75193,2.88
W_16.0083_79.6958,2018-08-19,3.86,3.8161857,3.62
W_16.0083_79.6958,2018-11-04,2.44,3.3684616,3.86
W_16.0083_79.6958,2019-01-04,0.19000006,2.791977,2.44
W_16.0083_79.6958,2019-05-04,3.48,0.941397,0.19
W_16.0083_79.6958,2019-08-19,3.39,2.7355092,3.48
W_16.0083_79.6958,2019-10-31,1.7500001,2.1831045,3.39
W_16.0083_79.6958,2020-01-09,1.33,2.3302126,1.75
W_16.0083_79.6958,2020-11-29,1.99,0.2886865,1.33
W_16.0083_79.6958,2021-01-09,2.09,2.3942761,1.99
W_16.0167_76.4,2020-11-29,1.3499999,7.2144003,7.61
W_16.0167_76.4,2021-01-09,1.5500001,1.7933308,1.35
W_16.0333_79.4417,2017-01-04,5.6,4.981201,4.1
W_16.0333_79.4417,2017-08-24,7.6,5.9481354,5.6
W_16.0333_79.4417,2018-08-19,4.62,7.609598,7.6
W_16.0333_79.4417,2018-11-04,2.6499999,4.2569804,4.62
W_16.0333_79.4417,2019-01-04,4.17,2.890076,2.65
W_16.0333_79.4417,2019-05-04,5.98,4.5435424,4.17
W_16.0333_79.4417,2019-08-19,6.19,5.2735233,5.98
W_16.0333_79.4417,2019-10-31,2.15,4.9772778,6.19
W_16.0333_79.4417,2020-01-09,3.2,2.8899689,2.15
W_16.0333_79.4417,2020-11-29,3.03,2.5852203,3.2
W_16.0333_79.4417,2021-01-09,3.4,3.507972,3.03
W_16.0508_75.1878,2016-11-04,7.98,2.7401714,2.6
W_16.0508_75.1878,2017-01-04,9.52,8.399378,7.98
W_16.0508_75.1878,2017-08-24,6.0300007,10.153282,9.52
W_16.0508_75.1878,2018-08-19,0.9200001,5.6056266,6.03
W_16.0508_75.1878,2018-11-04,7.9500003,1.774356,0.92
W_16.0508_75.1878,2019-01-02,9.44,8.138184,7.95
W_16.0508_75.1878,2019-05-26,12.9,10.959274,9.44
W_16.0508_75.1878,2019-08-06,2.6799994,10.573262,12.9
