stratum,value,n_held_out,n_current_evaluable,current_coverage_pct,n_candidate_evaluable,candidate_coverage_pct
well_id,well_id=W_18.2269_77.9375,4,0,0.0,0,0.0
well_id,well_id=W_18.2333_79.4417,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_18.2667_77.7833,28,12,0.42857142857142855,12,0.42857142857142855
well_id,well_id=W_18.2722_78.1278,34,19,0.5588235294117647,19,0.5588235294117647
well_id,well_id=W_18.28_78.06,23,8,0.34782608695652173,8,0.34782608695652173
well_id,well_id=W_18.2917_76.8,1,0,0.0,0,0.0
well_id,well_id=W_18.2917_77.2506,9,0,0.0,0,0.0
well_id,well_id=W_18.2958_78.8208,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_18.3028_73.2389,11,3,0.2727272727272727,3,0.2727272727272727
well_id,well_id=W_18.3092_79.1181,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_18.325_75.9639,23,9,0.391304347826087,9,0.391304347826087
well_id,well_id=W_18.3333_73.85,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_18.3536_76.805,28,12,0.42857142857142855,12,0.42857142857142855
well_id,well_id=W_18.3708_75.425,25,10,0.4,10,0.4
well_id,well_id=W_18.3_80.55,30,13,0.43333333333333335,13,0.43333333333333335
well_id,well_id=W_18.4333_73.2056,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_18.4417_79.0833,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_18.4458_79.2875,30,9,0.3,9,0.3
well_id,well_id=W_18.4514_77.7983,7,0,0.0,0,0.0
