stratum,value,n,rmse,mae,r2,kriging_rmse
year+season+region,year=2019 | season=monsoon | region=SE,153,8.917051546003984,5.331289664752047,-0.10755464229247602,7.965404136956823
year+season+region,year=2019 | season=monsoon | region=SW,125,4.126011566717104,3.249954662682335,0.08385908583697843,3.804449339212536
year+season+region,year=2019 | season=post-monsoon | region=NE,277,3.915072873295217,2.532153128944015,0.2665586648988394,3.8617326688549474
year+season+region,year=2019 | season=post-monsoon | region=NW,262,4.824242784981556,3.202942877710917,0.1044426853260727,5.287817866408282
year+season+region,year=2019 | season=post-monsoon | region=SE,308,6.01476439849397,4.335966693695179,0.30872293189654665,6.361669924776593
year+season+region,year=2019 | season=post-monsoon | region=SW,248,4.436711862614466,3.088070706506054,0.1733436196871727,4.566347945172666
year+season+region,year=2019 | season=pre-monsoon | region=NE,137,5.996590054891315,4.287716420524798,-0.04088875761557631,5.773567068323555
year+season+region,year=2019 | season=pre-monsoon | region=NW,129,8.246151729148348,6.226258047871474,-0.27664282593017275,7.414272791279544
year+season+region,year=2019 | season=pre-monsoon | region=SE,143,10.23098553890867,6.177569704102199,0.19645465027035913,10.8806037449136
year+season+region,year=2019 | season=pre-monsoon | region=SW,114,4.975333790379445,4.004836129335227,-0.17032979714466623,4.449674895480174
year+season+region,year=2020 | season=monsoon | region=NE,26,2.537022988922688,2.070799236456438,-0.06313148384593337,2.6608125402162606
year+season+region,year=2020 | season=monsoon | region=NW,26,4.425570327842928,2.3467834665820346,0.3195540830742225,4.040133263092528
year+season+region,year=2020 | season=monsoon | region=SE,16,11.82835411825382,6.972979217487738,-0.24294475276500682,11.669523633468236
year+season+region,year=2020 | season=monsoon | region=SW,21,2.412379533795958,2.0946065498242774,-0.019628951647390203,2.355227964987995
year+season+region,year=2020 | season=post-monsoon | region=NE,222,3.0997822356338722,2.266366322167822,0.1296672283887481,3.0722116090602967
year+season+region,year=2020 | season=post-monsoon | region=NW,201,4.357456935028007,3.029543588669609,-0.18505079198789542,4.468674998691855
year+season+region,year=2020 | season=post-monsoon | region=SE,304,5.920490169137618,3.568641601596474,0.22401362482755194,6.103094184123592
year+season+region,year=2020 | season=post-monsoon | region=SW,219,3.8558647964118435,3.0554231119671433,-0.021805958293621863,3.4483315684922977
year+season+region,year=2021 | season=post-monsoon | region=NE,136,3.2785510703468375,2.3953801449289287,0.1458569290203996,3.295352370934082
year+season+region,year=2021 | season=post-monsoon | region=NW,134,4.261318555072002,3.027988688310883,0.10960902199124856,4.480684857783868
year+season+region,year=2021 | season=post-monsoon | region=SE,162,4.9771716954036,2.8529839500735923,0.10897863981193734,4.9606718100112905
year+season+region,year=2021 | season=post-monsoon | region=SW,132,3.308841702926097,2.5243123118550512,0.09245890799346412,3.3120870198563725
