experiment,model,cv_type,fold,n,rmse,mae,r2,bias,corr
B,random_forest,spatial_block,0,12395,0.10589808028555898,0.08334544275043863,0.6160093716695489,0.0008508063172122275,0.7881991638025669
B,random_forest,spatial_block,1,12369,0.10334213588159893,0.08271872034769263,0.7520254054110458,0.014183916108684018,0.8722517299864904
B,random_forest,spatial_block,2,12409,0.10109828512794121,0.07949175019628829,0.7749275560888707,0.015875852993224266,0.8852003057556567
B,random_forest,spatial_block,3,12398,0.10439051481114475,0.08156981025662553,0.6550792357807355,-0.005368639645458172,0.812061379570451
B,random_forest,spatial_block,4,12342,0.10680696354727494,0.08566358914483742,0.5872820600932931,0.010872333567108448,0.7698998605031717
B,random_forest,temporal_holdout,0,20051,0.1533689347929649,0.123628643327707,0.3346340052147675,-0.09035025404023123,0.7811312745286741
B,hist_gradient_boosting,random,0,12383,0.05926795302794964,0.043139349090953585,0.900872084094532,0.00010139187460418547,0.9492425435177204
B,hist_gradient_boosting,random,1,12383,0.05859576738297275,0.04285948423717722,0.9037512810941766,0.0007282960572273041,0.950780259336726
B,hist_gradient_boosting,random,2,12383,0.059708354323071394,0.04349787612723479,0.9018516878069446,-0.00011635842328483835,0.9497651814878089
B,hist_gradient_boosting,random,3,12382,0.05872290461569962,0.042944668077436285,0.9036359208933434,0.0005464715934985315,0.9507744757925388
B,hist_gradient_boosting,random,4,12382,0.05881920231293867,0.04275536057712449,0.9035319392860333,3.578626984155136e-05,0.9505994880139146
B,hist_gradient_boosting,spatial_block,0,12395,0.10541704187421168,0.08396675281690764,0.6194899770263468,0.013538486136700592,0.7948104276678299
B,hist_gradient_boosting,spatial_block,1,12369,0.10232309808719424,0.08198790869380435,0.756891757164831,0.03044074323432559,0.8900912361686796
B,hist_gradient_boosting,spatial_block,2,12409,0.09711424543588985,0.07736871309755872,0.7923171528492424,0.025848467986051456,0.8992861538754282
B,hist_gradient_boosting,spatial_block,3,12398,0.10501883477978657,0.08366236466001344,0.6509146271854103,0.01419791430142833,0.8122485963872413
B,hist_gradient_boosting,spatial_block,4,12342,0.09159039834672607,0.07377413798426144,0.6965032074013728,0.012001461948071281,0.8399110793642504
B,hist_gradient_boosting,temporal_holdout,0,20051,0.14039810935503133,0.11529757141826587,0.4424185487828478,-0.08013309064843029,0.7973108780372089
